CustomerID,TotalSpent,Ranking
146460,279489.02,1
181020,256438.49,2
174500,187482.17,3
149110,132572.62,4
124150,123725.45,5
141560,113384.14,6
175110,88125.38,7
166840,65892.08,8
136940,62653.10,9
153110,59419.34,10
130890,57385.88,11
140960,57120.91,12
150610,54228.74,13
179490,52750.84,14
157690,51823.72,15
160290,50992.61,16
142980,50862.44,17
140880,50415.49,18
178410,40340.78,19
137980,36351.42,20
164220,33805.69,21
129310,33462.81,22
160130,33366.25,23
158380,33350.76,24
173890,31300.08,25
174040,30300.82,26
127480,29072.10,27
130980,28658.88,28
130810,27964.48,29
134080,27487.41,30
146800,26932.34,31
178570,26763.34,32
163330,26626.80,33
137770,25748.35,34
157490,21535.90,35
162100,21086.30,36
127530,21024.01,37
173810,20272.43,38
176750,20098.10,39
150390,19786.44,40
127310,18793.41,41
124710,18740.92,42
151590,18573.68,43
126780,17588.26,44
174280,17078.45,45
138810,16989.52,46
137670,16945.71,47
129210,16389.74,48
129010,16293.10,49
176770,16219.22,50
158560,16173.67,51
151890,15802.14,52
140510,15477.34,53
168390,15357.78,54
140310,14634.64,55
155130,14520.08,56
161330,14305.66,57
148660,14197.45,58
167050,13946.13,59
126810,13677.59,60
126210,13612.07,61
124330,13375.87,62
125400,13309.04,63
124770,13117.01,64
177350,13110.02,65
142580,12650.08,66
156400,12433.34,67
130780,12432.28,68
154980,12396.46,69
160000,12393.70,70
126820,12288.22,71
125570,11990.96,72
165250,11895.57,73
173400,11891.18,74
146060,11713.85,75
129390,11581.80,76
146070,11341.10,77
141940,11216.75,78
151250,11117.05,79
124090,11056.93,80
148950,11020.26,81
129710,10930.26,82
133400,10736.48,83
175810,10736.11,84
133190,10664.34,85
147690,10641.60,86
171390,10585.57,87
131130,10510.00,88
140620,10464.85,89
167790,10454.05,90
171070,10380.43,91
156150,10360.04,92
152510,10327.11,93
161800,10217.48,94
168430,10183.82,95
178650,10158.54,96
177060,10097.37,97
125900,9861.38,98
131990,9803.96,99
130010,9797.92,100
150780,9623.35,101
134580,9537.92,102
147330,9451.54,103
165230,9295.67,104
127090,9294.10,105
146670,9231.20,106
143670,9167.82,107
127440,9120.39,108
125670,9114.94,109
180920,9065.76,110
139690,8986.69,111
124510,8933.52,112
134880,8910.61,113
160330,8727.61,114
130900,8689.39,115
172430,8628.55,116
173060,8600.73,117
170170,8574.11,118
166560,8568.24,119
181390,8393.22,120
165580,8257.04,121
153580,8234.80,122
126830,8221.09,123
140560,8124.40,124
149360,8117.42,125
166720,8093.59,126
138540,8025.02,127
181090,7925.32,128
149520,7912.79,129
148490,7904.28,130
124280,7877.20,131
147960,7839.51,132
124350,7829.89,133
152900,7803.77,134
136290,7792.36,135
130930,7741.47,136
145270,7711.38,137
178110,7677.71,138
150440,7629.38,139
151940,7521.17,140
181720,7490.17,141
132630,7454.07,142
173960,7330.80,143
182290,7276.90,144
130180,7272.75,145
125830,7187.34,146
167450,7170.70,147
124740,7116.47,148
129800,7092.06,149
167290,7076.28,150
133240,7072.80,151
168730,7066.31,152
139850,7024.53,153
149610,7006.58,154
127660,6989.63,155
127980,6977.04,156
154650,6945.02,157
130270,6912.00,158
129890,6854.51,159
161870,6841.24,160
167130,6840.23,161
174160,6838.34,162
127050,6814.24,163
150230,6763.16,164
180550,6752.14,165
165320,6748.80,166
128300,6748.40,167
156010,6745.36,168
135760,6703.30,169
167460,6694.31,170
163530,6675.71,171
169230,6666.83,172
152490,6657.36,173
166520,6654.26,174
161820,6617.65,175
173380,6612.18,176
154820,6568.72,177
124760,6546.58,178
151440,6530.04,179
168140,6500.60,180
156940,6423.60,181
124310,6416.39,182
138710,6389.80,183
126260,6388.35,184
