,CustomerID,TotalSpent,Ranking,ContributionPct,IndividualContributionPct
0,146460,279489.02,1,4.49,4.49
1,181020,256438.49,2,8.62,4.12
2,174500,187482.17,3,11.63,3.01
3,149110,132572.62,4,13.76,2.13
4,124150,123725.45,5,15.75,1.99
5,141560,113384.14,6,17.58,1.82
6,175110,88125.38,7,18.99,1.42
7,166840,65892.08,8,20.05,1.06
8,136940,62653.1,9,21.06,1.01
9,153110,59419.34,10,22.02,0.96
10,130890,57385.88,11,22.94,0.92
11,140960,57120.91,12,23.86,0.92
12,150610,54228.74,13,24.73,0.87
13,179490,52750.84,14,25.58,0.85
14,157690,51823.72,15,26.41,0.83
15,160290,50992.61,16,27.23,0.82
16,142980,50862.44,17,28.05,0.82
17,140880,50415.49,18,28.86,0.81
18,178410,40340.78,19,29.51,0.65
19,137980,36351.42,20,30.09,0.58
20,164220,33805.69,21,30.64,0.54
21,129310,33462.81,22,31.17,0.54
22,160130,33366.25,23,31.71,0.54
23,158380,33350.76,24,32.25,0.54
24,173890,31300.08,25,32.75,0.5
25,174040,30300.82,26,33.24,0.49
26,127480,29072.1,27,33.71,0.47
27,130980,28658.88,28,34.17,0.46
28,130810,27964.48,29,34.62,0.45
29,134080,27487.41,30,35.06,0.44
30,146800,26932.34,31,35.49,0.43
31,178570,26763.34,32,35.92,0.43
32,163330,26626.8,33,36.35,0.43
33,137770,25748.35,34,36.76,0.41
34,157490,21535.9,35,37.11,0.35
35,162100,21086.3,36,37.45,0.34
36,127530,21024.01,37,37.79,0.34
37,173810,20272.43,38,38.11,0.33
38,176750,20098.1,39,38.44,0.32
39,150390,19786.44,40,38.75,0.32
40,127310,18793.41,41,39.06,0.3
41,124710,18740.92,42,39.36,0.3
42,151590,18573.68,43,39.66,0.3
43,126780,17588.26,44,39.94,0.28
44,174280,17078.45,45,40.21,0.27
45,138810,16989.52,46,40.49,0.27
46,137670,16945.71,47,40.76,0.27
47,129210,16389.74,48,41.02,0.26
48,129010,16293.1,49,41.29,0.26
49,176770,16219.22,50,41.55,0.26
50,158560,16173.67,51,41.81,0.26
51,151890,15802.14,52,42.06,0.25
52,140510,15477.34,53,42.31,0.25
53,168390,15357.78,54,42.56,0.25
54,140310,14634.64,55,42.79,0.24
55,155130,14520.08,56,43.02,0.23
56,161330,14305.66,57,43.25,0.23
57,148660,14197.45,58,43.48,0.23
58,167050,13946.13,59,43.71,0.22
59,126810,13677.59,60,43.93,0.22
60,126210,13612.07,61,44.15,0.22
61,124330,13375.87,62,44.36,0.22
62,125400,13309.04,63,44.58,0.21
63,124770,13117.01,64,44.79,0.21
64,177350,13110.02,65,45.0,0.21
65,142580,12650.08,66,45.2,0.2
66,156400,12433.34,67,45.4,0.2
67,130780,12432.28,68,45.6,0.2
68,154980,12396.46,69,45.8,0.2
69,160000,12393.7,70,46.0,0.2
70,126820,12288.22,71,46.2,0.2
71,125570,11990.96,72,46.39,0.19
72,165250,11895.57,73,46.58,0.19
73,173400,11891.18,74,46.77,0.19
74,146060,11713.85,75,46.96,0.19
75,129390,11581.8,76,47.15,0.19
76,146070,11341.1,77,47.33,0.18
77,141940,11216.75,78,47.51,0.18
78,151250,11117.05,79,47.69,0.18
79,124090,11056.93,80,47.87,0.18
80,148950,11020.26,81,48.04,0.18
81,129710,10930.26,82,48.22,0.18
82,133400,10736.48,83,48.39,0.17
83,175810,10736.11,84,48.56,0.17
84,133190,10664.34,85,48.74,0.17
85,147690,10641.6,86,48.91,0.17
86,171390,10585.57,87,49.08,0.17
87,131130,10510.0,88,49.25,0.17
88,140620,10464.85,89,49.41,0.17
89,167790,10454.05,90,49.58,0.17
90,171070,10380.43,91,49.75,0.17
91,156150,10360.04,92,49.92,0.17
92,152510,10327.11,93,50.08,0.17
93,161800,10217.48,94,50.25,0.16
94,168430,10183.82,95,50.41,0.16
95,178650,10158.54,96,50.57,0.16
96,177060,10097.37,97,50.74,0.16
97,125900,9861.38,98,50.89,0.16
98,131990,9803.96,99,51.05,0.16
99,130010,9797.92,100,51.21,0.16
100,150780,9623.35,101,51.36,0.15
101,134580,9537.92,102,51.52,0.15
102,147330,9451.54,103,51.67,0.15
103,165230,9295.67,104,51.82,0.15
104,127090,9294.1,105,51.97,0.15
105,146670,9231.2,106,52.12,0.15
106,143670,9167.82,107,52.26,0.15
107,127440,9120.39,108,52.41,0.15
108,125670,9114.94,109,52.56,0.15
109,180920,9065.76,110,52.7,0.15
110,139690,8986.69,111,52.85,0.14
111,124510,8933.52,112,52.99,0.14
112,134880,8910.61,113,53.13,0.14
113,160330,8727.61,114,53.27,0.14
114,130900,8689.39,115,53.41,0.14
115,172430,8628.55,116,53.55,0.14
116,173060,8600.73,117,53.69,0.14
117,170170,8574.11,118,53.83,0.14
118,166560,8568.24,119,53.97,0.14
119,181390,8393.22,120,54.1,0.13
120,165580,8257.04,121,54.23,0.13
121,153580,8234.8,122,54.37,0.13
122,126830,8221.09,123,54.5,0.13
123,140560,8124.4,124,54.63,0.13
124,149360,8117.42,125,54.76,0.13
125,166720,8093.59,126,54.89,0.13
126,138540,8025.02,127,55.02,0.13
127,181090,7925.32,128,55.15,0.13
128,149520,7912.79,129,55.27,0.13
129,148490,7904.28,130,55.4,0.13
130,124280,7877.2,131,55.53,0.13
131,147960,7839.51,132,55.65,0.13
132,124350,7829.89,133,55.78,0.13
133,152900,7803.77,134,55.91,0.13
134,136290,7792.36,135,56.03,0.13
135,130930,7741.47,136,56.16,0.12
136,145270,7711.38,137,56.28,0.12
137,178110,7677.71,138,56.4,0.12
138,150440,7629.38,139,56.53,0.12
139,151940,7521.17,140,56.65,0.12
140,181720,7490.17,141,56.77,0.12
141,132630,7454.07,142,56.89,0.12
142,173960,7330.8,143,57.0,0.12
143,182290,7276.9,144,57.12,0.12
144,130180,7272.75,145,57.24,0.12
145,125830,7187.34,146,57.35,0.12
146,167450,7170.7,147,57.47,0.12
147,124740,7116.47,148,57.58,0.11
148,129800,7092.06,149,57.7,0.11
149,167290,7076.28,150,57.81,0.11
150,133240,7072.8,151,57.93,0.11
151,168730,7066.31,152,58.04,0.11
152,139850,7024.53,153,58.15,0.11
153,149610,7006.58,154,58.26,0.11
154,127660,6989.63,155,58.38,0.11
155,127980,6977.04,156,58.49,0.11
156,154650,6945.02,157,58.6,0.11
157,130270,6912.0,158,58.71,0.11
158,129890,6854.51,159,58.82,0.11
159,161870,6841.24,160,58.93,0.11
160,167130,6840.23,161,59.04,0.11
161,174160,6838.34,162,59.15,0.11
162,127050,6814.24,163,59.26,0.11
163,150230,6763.16,164,59.37,0.11
164,180550,6752.14,165,59.48,0.11
165,165320,6748.8,166,59.59,0.11
166,128300,6748.4,167,59.7,0.11
167,156010,6745.36,168,59.8,0.11
168,135760,6703.3,169,59.91,0.11
169,167460,6694.31,170,60.02,0.11
170,163530,6675.71,171,60.13,0.11
171,169230,6666.83,172,60.23,0.11
172,152490,6657.36,173,60.34,0.11
173,166520,6654.26,174,60.45,0.11
174,161820,6617.65,175,60.56,0.11
175,173380,6612.18,176,60.66,0.11
176,154820,6568.72,177,60.77,0.11
177,124760,6546.58,178,60.87,0.11
178,151440,6530.04,179,60.98,0.11
179,168140,6500.6,180,61.08,0.1
180,156940,6423.6,181,61.19,0.1
181,124310,6416.39,182,61.29,0.1
182,138710,6389.8,183,61.39,0.1
183,126260,6388.35,184,61.49,0.1
184,131020,6336.29,185,61.6,0.1
185,182230,6315.23,186,61.7,0.1
186,161260,6287.77,187,61.8,0.1
187,137090,6249.11,188,61.9,0.1
188,123590,6245.53,189,62.0,0.1
189,124720,6229.48,190,62.1,0.1
190,136680,6216.07,191,62.2,0.1
191,123570,6207.67,192,62.3,0.1
192,173150,6204.46,193,62.4,0.1
193,150050,6180.49,194,62.5,0.1
194,140570,6147.4,195,62.6,0.1
195,140600,6135.38,196,62.7,0.1
196,159390,6102.26,197,62.79,0.1
197,175090,6100.74,198,62.89,0.1
198,132250,6083.04,199,62.99,0.1
199,141010,5976.79,200,63.09,0.1
200,126370,5953.25,201,63.18,0.1
201,153820,5927.86,202,63.28,0.1
202,130970,5893.32,203,63.37,0.09
203,134180,5845.44,204,63.47,0.09
204,149440,5842.95,205,63.56,0.09
205,132090,5820.16,206,63.65,0.09
206,145050,5818.7,207,63.75,0.09
207,133160,5815.49,208,63.84,0.09
208,144150,5811.56,209,63.93,0.09
209,147350,5807.69,210,64.03,0.09
210,152180,5756.89,211,64.12,0.09
211,176860,5739.46,212,64.21,0.09
212,131780,5725.47,213,64.3,0.09
213,127200,5713.28,214,64.4,0.09
214,130500,5684.61,215,64.49,0.09
215,141100,5669.65,216,64.58,0.09
216,165530,5664.57,217,64.67,0.09
217,134680,5656.75,218,64.76,0.09
218,140490,5639.15,219,64.85,0.09
219,130040,5613.43,220,64.94,0.09
220,135340,5613.08,221,65.03,0.09
221,181180,5595.77,222,65.12,0.09
222,170490,5594.78,223,65.21,0.09
223,124810,5590.86,224,65.3,0.09
224,177570,5585.49,225,65.39,0.09
225,128390,5583.62,226,65.48,0.09
226,167670,5580.6,227,65.57,0.09
227,155020,5541.46,228,65.66,0.09
228,177160,5505.79,229,65.75,0.09
229,169850,5461.62,230,65.84,0.09
230,158050,5452.17,231,65.92,0.09
231,166090,5450.96,232,66.01,0.09
232,162650,5423.15,233,66.1,0.09
233,124900,5417.93,234,66.19,0.09
234,177190,5367.8,235,66.27,0.09
235,182250,5361.02,236,66.36,0.09
236,161610,5352.97,237,66.44,0.09
237,132690,5315.92,238,66.53,0.09
238,163030,5305.83,239,66.62,0.09
239,151500,5303.97,240,66.7,0.09
240,177300,5288.83,241,66.79,0.09
241,178500,5288.63,242,66.87,0.09
242,162580,5203.51,243,66.95,0.08
243,182260,5192.1,244,67.04,0.08
244,157270,5178.96,245,67.12,0.08
245,178580,5155.66,246,67.2,0.08
246,123620,5154.58,247,67.29,0.08
247,167010,5150.27,248,67.37,0.08
248,137560,5145.12,249,67.45,0.08
249,159030,5126.34,250,67.54,0.08
250,170610,5116.13,251,67.62,0.08
251,146880,5107.38,252,67.7,0.08
252,181980,5083.06,253,67.78,0.08
253,150460,5064.01,254,67.86,0.08
254,124320,5059.32,255,67.94,0.08
255,131390,5055.79,256,68.03,0.08
256,176020,5050.77,257,68.11,0.08
257,157190,5043.96,258,68.19,0.08
258,167000,5040.0,259,68.27,0.08
259,135990,5030.6,260,68.35,0.08
260,153010,5028.12,261,68.43,0.08
261,174260,5022.26,262,68.51,0.08
262,124440,5005.46,263,68.59,0.08
263,147550,4965.38,264,68.67,0.08
264,155470,4954.84,265,68.75,0.08
265,143290,4928.74,266,68.83,0.08
266,161910,4913.32,267,68.91,0.08
267,139410,4912.41,268,68.99,0.08
268,147090,4911.14,269,69.07,0.08
269,124370,4896.66,270,69.15,0.08
270,171330,4892.24,271,69.23,0.08
271,126880,4873.81,272,69.3,0.08
272,127000,4867.99,273,69.38,0.08
273,126640,4863.88,274,69.46,0.08
274,157860,4834.2,275,69.54,0.08
275,142920,4819.33,276,69.62,0.08
276,173650,4801.56,277,69.69,0.08
277,157380,4788.77,278,69.77,0.08
278,130130,4786.99,279,69.85,0.08
279,155550,4758.2,280,69.92,0.08
280,176900,4748.45,281,70.0,0.08
281,176520,4737.13,282,70.08,0.08
282,129550,4734.26,283,70.15,0.08
283,167220,4711.21,284,70.23,0.08
284,145620,4709.22,285,70.3,0.08
285,127140,4708.86,286,70.38,0.08
286,141350,4690.31,287,70.45,0.08
287,151520,4684.24,288,70.53,0.08
288,141590,4678.3,289,70.6,0.08
289,151870,4670.08,290,70.68,0.08
290,141910,4660.01,291,70.75,0.07
291,141800,4640.77,292,70.83,0.07
292,178090,4627.62,293,70.9,0.07
293,141890,4604.31,294,70.98,0.07
294,169310,4604.22,295,71.05,0.07
295,152910,4596.51,296,71.13,0.07
296,142860,4595.81,297,71.2,0.07
297,143900,4592.47,298,71.27,0.07
298,140040,4582.64,299,71.35,0.07
299,170680,4531.34,300,71.42,0.07
300,176130,4509.37,301,71.49,0.07
301,124840,4495.27,302,71.56,0.07
302,125240,4485.72,303,71.64,0.07
303,126270,4478.53,304,71.71,0.07
304,150320,4464.1,305,71.78,0.07
305,173640,4455.73,306,71.85,0.07
306,140850,4435.79,307,71.92,0.07
307,150930,4410.14,308,71.99,0.07
308,132670,4404.44,309,72.07,0.07
309,179750,4393.61,310,72.14,0.07
310,169840,4392.42,311,72.21,0.07
311,159550,4389.81,312,72.28,0.07
312,166260,4379.65,313,72.35,0.07
313,127520,4366.78,314,72.42,0.07
314,169450,4345.5,315,72.49,0.07
315,158740,4330.67,316,72.56,0.07
316,140160,4328.46,317,72.63,0.07
317,182510,4314.72,318,72.7,0.07
318,123470,4310.0,319,72.77,0.07
319,179370,4301.22,320,72.83,0.07
320,135050,4282.88,321,72.9,0.07
321,150340,4277.66,322,72.97,0.07
322,144220,4263.64,323,73.04,0.07
323,127120,4241.63,324,73.11,0.07
324,148000,4236.34,325,73.18,0.07
325,127570,4227.7,326,73.25,0.07
326,145250,4221.37,327,73.31,0.07
327,125000,4206.27,328,73.38,0.07
328,179200,4204.1,329,73.45,0.07
329,174190,4200.97,330,73.52,0.07
330,159710,4199.85,331,73.58,0.07
331,127470,4196.01,332,73.65,0.07
332,180410,4161.14,333,73.72,0.07
333,165490,4154.64,334,73.78,0.07
334,135550,4149.28,335,73.85,0.07
335,129490,4143.02,336,73.92,0.07
336,133840,4122.28,337,73.98,0.07
337,155700,4109.97,338,74.05,0.07
338,125360,4106.82,339,74.12,0.07
339,139880,4098.8,340,74.18,0.07
340,145340,4075.35,341,74.25,0.07
341,165920,4073.28,342,74.31,0.07
342,124490,4067.29,343,74.38,0.07
343,125690,4064.99,344,74.44,0.07
344,140920,4063.1,345,74.51,0.07
345,164010,4061.24,346,74.57,0.07
346,144010,4039.98,347,74.64,0.06
347,166700,4022.46,348,74.7,0.06
348,138150,4014.91,349,74.77,0.06
349,175670,4012.56,350,74.83,0.06
350,123780,4008.62,351,74.9,0.06
351,161860,3991.94,352,74.96,0.06
352,170010,3989.57,353,75.03,0.06
353,145470,3986.74,354,75.09,0.06
354,128670,3986.22,355,75.15,0.06
355,126560,3982.72,356,75.22,0.06
356,129570,3979.04,357,75.28,0.06
357,154160,3974.37,358,75.35,0.06
358,155290,3967.78,359,75.41,0.06
359,177690,3960.63,360,75.47,0.06
360,131830,3957.78,361,75.54,0.06
361,142770,3957.0,362,75.6,0.06
362,176110,3947.87,363,75.66,0.06
363,127270,3947.7,364,75.73,0.06
364,173770,3925.92,365,75.79,0.06
365,144260,3918.9,366,75.85,0.06
366,175930,3911.56,367,75.92,0.06
367,138020,3906.27,368,75.98,0.06
368,147390,3899.1,369,76.04,0.06
369,176510,3886.67,370,76.11,0.06
370,128410,3876.4,371,76.17,0.06
371,142910,3873.3,372,76.23,0.06
372,127790,3868.7,373,76.29,0.06
373,127490,3868.2,374,76.35,0.06
374,131240,3866.33,375,76.42,0.06
375,139990,3865.26,376,76.48,0.06
376,180730,3864.44,377,76.54,0.06
377,151950,3861.0,378,76.6,0.06
378,125390,3852.5,379,76.66,0.06
379,158040,3848.55,380,76.73,0.06
380,163270,3844.22,381,76.79,0.06
381,126620,3817.08,382,76.85,0.06
