,InvoiceDate,InvoiceNo,CustomerID,StockCode,Country,Description,Quantity,Price,Revenue,DayOfWeek,Month,RevenueLag_1Day,PurchaseID,UnitPrice,AvgMonthlyProductRevenue,AvgMonthlyUnitPrice,AvgMonthlyQuantitySold,Cohort,OrderMonth,FirstPurchaseDate,IsFirstPurchase,UnitCost,TotalCost,GrossProfit,GrossMargin
22,2011-03-17,C546889,1397100,22258.0,United Kingdom,FELT FARM ANIMAL RABBIT,-6,1.25,-7.5,4,3,237.89,13971-22258,0.0,9.39,0.72,7.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-7.5,100.0
23,2011-03-17,C546889,1397100,72140.0,United Kingdom,BEST DAD CANDLE LETTERS,-1,0.85,-0.85,4,3,-7.5,13971-72140,0.0,1.49,0.14,-1340.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-0.85,100.0
24,2011-03-17,C546889,1397100,22722.0,United Kingdom,SET OF 6 SPICE TINS PANTRY DESIGN,-1,3.95,-3.95,4,3,-0.85,13971-22722,0.0,18.53,2.46,4.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-3.95,100.0
25,2011-03-17,546890,1339400,21985.0,United Kingdom,PACK OF 12 HEARTS DESIGN TISSUES ,24,0.29,6.96,4,3,-3.95,13394-21985,0.01,4.36,0.13,14.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,6.96,100.0
26,2011-03-17,546890,1339400,22851.0,United Kingdom,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,0.85,10.2,4,3,6.96,13394-22851,0.07,9.18,0.32,11.0,2011-03,2011-03,2011-03-17,True,0.009000000000000001,0.10800000000000001,10.091999999999999,98.94117647058823
27,2011-03-17,546890,1339400,84978.0,United Kingdom,HANGING HEART JAR TLIGHT HOLDER,36,1.06,38.16,4,3,10.2,13394-84978,0.03,25.36,0.21,20.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,38.16,100.0
28,2011-03-17,546890,1339400,22302.0,United Kingdom,COFFEE MUG PEARS  DESIGN,6,2.55,15.3,4,3,38.16,13394-22302,0.43,23.86,0.48,10.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,15.3,100.0
29,2011-03-17,546890,1339400,22303.0,United Kingdom,COFFEE MUG APPLES DESIGN,6,2.55,15.3,4,3,15.3,13394-22303,0.43,19.98,0.86,8.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,15.3,100.0
30,2011-03-17,546890,1339400,22966.0,United Kingdom,GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,4,3,15.3,13394-22966,0.1,15.59,0.56,13.0,2011-03,2011-03,2011-03-17,True,0.027,0.324,14.676,97.84
31,2011-03-17,546890,1339400,22628.0,United Kingdom,PICNIC BOXES SET OF 3 RETROSPOT ,4,4.95,19.8,4,3,15.0,13394-22628,1.24,19.23,3.04,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,19.8,100.0
