CustomerID,TotalQuantityFirstPurchase,TotalItemsFirstPurchase,TotalRevenueFirstPurchase,UniqueProductsFirstPurchase
1274700,116,9,442.96,9
1274800,0,44,0.0,22
1274900,262,43,859.1,43
1282100,70,6,92.72,6
1282300,60,1,459.0,1
1283100,135,9,215.05,8
1283600,443,62,814.71,57
1284000,493,50,854.07,49
1284100,121,21,190.5,21
1284300,52,4,93.4,3
1285300,188,22,457.6,22
1285400,257,45,401.82,40
1285700,69,12,304.8,12
1286700,563,79,500.34,74
1286800,276,29,437.52,28
1287700,60,5,83.16,3
1287800,212,19,315.18,19
1288600,416,47,775.0,47
1288800,52,4,272.76,4
1289100,600,1,204.0,1
1290100,1552,15,2841.12,13
1290200,66,10,138.68,10
1290900,598,43,903.45,41
1291000,502,23,720.22,23
1291600,272,22,625.98,20
1292100,753,40,1063.87,38
1292800,236,21,387.7,19
1293100,1176,4,1488.0,4
1294700,478,34,429.57,34
1294800,168,25,371.8,24
1294900,909,75,1534.3,75
1295100,55,9,155.19,9
1295500,124,10,206.6,10
1295700,251,24,330.51,22
1297100,52,2,137.4,2
1297600,561,22,738.6,22
1298000,114,3,892.62,3
1298200,288,28,390.54,27
1298900,-2,1,-4.2,1
1299400,-7,6,-36.2,6
1299700,185,18,302.92,18
1299900,310,23,320.28,23
1300000,230,19,256.78,19
1300100,244,11,499.84,11
1300300,31,4,59.05,4
1300400,448,31,451.78,31
1300500,135,18,321.65,18
1301200,146,15,313.62,15
1301300,355,31,649.3199999999999,31
1301400,108,8,317.8,8
1301500,275,39,664.77,39
1301800,358,24,332.6,23
1302100,99,16,259.35,16
1302600,192,1,159.36,1
1302700,5040,6,2016.0,6
1303500,212,12,333.0,12
1303700,158,15,250.42,15
1304300,-3,1,-44.85,1
1304600,76,14,197.72,13
1304700,188,23,412.1,21
1304800,316,37,462.31,36
1305000,273,22,401.35,22
1305200,222,18,348.15,18
1305500,252,22,344.86,22
1305900,35,8,183.4,8
1306000,123,15,307.53,15
1306900,398,48,273.98,37
1307200,69,7,177.15,7
1307800,115,17,383.07,17
1308100,1593,82,2340.0499999999997,82
1308200,612,4,435.0,4
1308500,-108,7,-143.7,7
1308900,399,31,605.89,31
1309000,126,6,555.3,6
1309200,-8,1,-18.0,1
1309400,162,3,205.73999999999998,3
1309700,323,74,878.02,73
1309800,168,8,357.7,8
1310100,113,8,101.19,8
1310200,118,11,176.34,11
1311000,67,32,192.34,31
1311300,116,6,489.12,6
1311700,100,8,65.28,8
1311800,127,19,423.55,17
1312000,12,1,30.6,1
1312200,537,54,903.67,52
1312400,693,89,1317.8,78
1312600,431,19,320.16999999999996,17
1313200,20,3,77.3,3
1313400,162,24,500.2,23
1313600,276,30,574.46,29
1313700,392,127,645.91,112
1313800,72,12,193.62,12
1313900,210,5,409.5,4
1314100,294,30,516.28,30
1314800,173,29,369.09,28
1315700,284,14,300.12,14
1316200,453,22,548.43,21
1316900,96,6,505.2,6
1317800,355,27,483.0,25
1318300,288,9,513.84,9
1318400,70,13,93.9,13
1319600,320,34,512.13,34
1319800,835,67,903.01,67
1319900,160,1,408.0,1
1320300,145,10,165.71,9
1320800,148,35,205.28,35
1320900,1703,127,1932.24,127
1322000,12,1,83.4,1
1322100,90,30,346.7,29
1322300,48,1,100.8,1
1322500,-64,2,-380.79999999999995,1
1322900,63,10,160.95,10
1323000,109,53,203.2,47
1323200,196,14,117.43,14
1323500,441,58,1031.07,51
1323900,363,22,329.56,21
1324000,73,22,203.39000000000001,21
1324200,50,5,104.0,4
1324900,240,2,291.84,2
1326200,125,11,200.29,11
1326300,149,73,217.56,68
1326500,720,28,817.4399999999999,28
1326600,401,19,302.21999999999997,19
1326700,144,14,330.52,14
1326800,448,57,448.92,53
1326900,515,95,704.6,93
1328200,84,14,344.7,14
1328500,320,30,506.38,30
1329400,317,32,483.65,32
1330100,94,21,153.85999999999999,19
1330500,125,9,194.75,9
1331300,160,14,302.44,13
1331600,2048,11,1622.48,11
1331700,215,23,444.63,23
1331900,216,27,599.84,27
1332000,426,36,508.61,33
1332400,1097,15,1326.87,11
1332700,194,21,474.05,21
1334100,301,42,775.85,42
1335700,322,90,609.95,82
1336200,391,41,768.83,40
1336500,404,39,700.6,39
1336800,315,28,588.0,28
1337600,191,21,376.0,20
1338900,115,18,257.89,18
1339400,214,21,320.42,21
1340400,99,9,217.81,9
1340800,426,19,584.22,19
1341000,88,5,154.4,5
1341800,425,29,362.24,29
1342600,311,22,306.39,22
1342700,130,9,214.5,9
1343900,242,54,283.71,53
1344800,388,37,593.72,37
1345000,156,8,240.6,8
1345100,416,96,640.01,87
1345200,1,1,295.0,1
1345800,666,37,1015.14,36
1346200,62,9,151.5,9
1346800,24,7,113.35,6
1347400,132,64,229.59,54
1347500,404,32,589.4,32
1347700,-2,1,-5.1,1
1347900,89,8,144.35,8
1348100,471,43,665.28,42
1348200,116,11,184.64,11
1348400,44,8,313.8,8
1348500,277,23,454.24,23
1348700,128,13,215.65,13
1348800,259,31,713.95,30
1349100,60,6,90.8,6
1349500,108,6,207.0,6
1349900,144,12,305.56,12
1350800,24,12,110.97,11
1350900,386,15,313.5,15
1351200,143,15,251.21,14
1351500,180,13,203.4,13
1351600,56,7,146.0,7
1352400,100,9,159.2,9
1352500,208,2,282.88,2
1353400,314,32,514.3,21
1353900,97,10,151.55,10
1354400,75,49,122.91,41
1354800,164,61,281.01,57
1354900,134,10,183.5,10
1355200,183,14,469.05,13
1356100,83,14,141.85999999999999,14
1356200,233,24,603.27,21
1357000,161,27,239.49,26
1357100,77,27,145.27,27
1357300,10,3,31.77,3
1357600,192,7,330.24,7
1357700,131,20,356.75,19
1358800,48,8,113.3,8
1359000,338,8,301.42,7
1359100,128,23,462.2,22
1359200,30,6,76.72,6
1359300,147,23,447.5,22
1359900,182,15,331.81,15
1360100,275,42,373.2,41
1360600,129,37,180.4,34
1361000,48,21,102.6,19
1362300,19,10,146.99,10
1362600,209,19,257.23,19
1362900,350,4,642.0,2
1363000,311,32,431.78000000000003,30
1363200,98,41,261.58,38
1363400,126,35,263.41,32
1363600,85,8,137.35,8
1363700,214,63,421.35,59
1364200,173,66,354.8,57
1364700,267,23,424.64,23
1364900,72,8,148.8,8
1365200,178,20,329.44,20
1365400,201,24,485.31,24
1365500,115,21,383.65,21
1366200,175,17,227.7,17
1366800,75,20,173.77,16
1369200,734,31,856.63,31
1369400,4686,39,3221.88,35
1369500,46,5,83.14,5
1370000,380,22,314.52,22
1371100,140,13,252.06,11
1371200,352,10,228.84,10
1371700,318,15,272.54,15
1371800,38,5,192.5,4
1371900,78,6,132.9,6
1372000,204,17,266.2,16
1372300,43,6,199.85,6
1372500,137,10,146.87,9
1372800,92,12,183.0,12
1373100,166,20,308.12,20
1373500,502,62,915.01,59
1373600,224,79,349.63,72
1374000,425,23,350.75,22
1374100,76,8,162.96,8
1374200,109,17,172.72,17
1374300,156,6,141.72,6
1374800,84,8,229.39999999999998,8
1375200,224,16,277.6,15
1375800,108,15,316.9,15
1376000,96,28,135.09,27
1376200,272,7,306.72,7
1376700,128,11,291.44,11
1376900,133,17,300.75,17
1377100,594,49,871.6,49
1377200,86,36,228.42,36
1377700,195,5,300.0,5
1378100,30,17,127.84,17
1378200,48,9,169.36,9
1378400,556,6,346.08,5
1379800,246,3,662.62,3
1380200,-30,1,-50.7,1
1380300,121,17,277.07,17
1382100,110,42,270.15,41
1382400,202,14,659.3,14
1383100,78,3,311.29999999999995,3
1383500,157,21,328.45,20
1383700,121,10,157.54,10
1384100,100,1,85.0,1
1384200,99,19,308.73,19
1384600,-5,3,-17.45,3
1385400,108,5,305.52,5
1386200,126,11,173.46,11
1386300,224,20,305.78,20
1386700,31,8,138.85,8
1386900,311,68,687.15,67
1387100,186,17,401.3,17
1387300,37,7,108.95,7
1387500,168,12,343.03,12
1388000,193,18,291.63,18
1388100,322,17,309.88,17
1388300,457,46,980.41,46
1388800,78,20,239.52,18
1389200,140,3,54.519999999999996,3
1390000,154,16,357.58,16
1390100,244,23,433.9,20
1390800,209,24,335.11,24
1391100,208,18,282.28,18
1391800,100,8,198.2,8
1393400,390,31,922.1,31
1395000,81,7,179.31,7
1395100,175,20,303.49,20
1395200,885,92,2042.76,86
1395300,600,1,750.0,1
1395600,77,34,173.95,29
1396200,30,7,117.6,7
1396900,69,28,145.55,27
1397100,-8,3,-12.3,3
1397500,117,11,282.85,11
1398300,261,18,305.43,18
1398400,408,1,432.48,1
1398500,190,20,393.0,20
1398800,426,43,631.06,43
1398900,869,23,896.67,23
1399000,190,16,311.3,16
1399300,114,15,278.21999999999997,15
1399500,183,17,310.45,17
1399900,214,16,301.48,16
1400000,710,15,635.66,11
1400100,538,15,1007.9,15
1400500,240,14,187.16,14
1400600,211,13,357.65,13
1402100,54,3,198.9,3
