InvoiceDate,Revenue
2011-03-17,2899.21
2011-03-18,19972.92
2011-03-19,0.0
2011-03-20,18459.0
2011-03-21,15179.17
2011-03-22,15655.4
2011-03-23,17220.69
2011-03-24,33702.3
2011-03-25,20700.71
2011-03-26,0.0
2011-03-27,8812.57
2011-03-28,15011.63
2011-03-29,18762.57
2011-03-30,25522.78
2011-03-31,16246.71
2011-04-01,20845.28
2011-04-02,0.0
2011-04-03,6853.45
2011-04-04,18596.99
2011-04-05,17949.62
2011-04-06,11688.78
2011-04-07,13879.06
2011-04-08,17566.72
2011-04-09,0.0
2011-04-10,8887.39
2011-04-11,17416.21
2011-04-12,22924.52
2011-04-13,22548.17
2011-04-14,30228.3
2011-04-15,15717.43
2011-04-16,0.0
2011-04-17,11627.34
2011-04-18,16727.14
2011-04-19,14913.51
2011-04-20,24400.71
2011-04-21,23913.94
2011-04-22,0.0
2011-04-23,0.0
2011-04-24,0.0
2011-04-25,0.0
2011-04-26,20212.82
2011-04-27,21476.36
2011-04-28,17969.77
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,5872.28
2011-05-02,0.0
2011-05-03,17280.05
2011-05-04,24721.56
2011-05-05,21061.36
2011-05-06,25384.68
2011-05-07,0.0
2011-05-08,16888.96
2011-05-09,19610.85
2011-05-10,25028.41
2011-05-11,26712.68
2011-05-12,26296.56
2011-05-13,22646.79
2011-05-14,0.0
2011-05-15,3501.81
